type_name,sub_type_of,is_core_category
actor,,False
transport provider,actor,True
shipyard,transport provider,False
transport authority,transport provider,False
lighthouse,transport provider,False
dock management company,transport provider,False
aviation service provider,transport provider,False
airport,transport provider,False
airfield,transport provider,False
trader,actor,True
antiques dealer,trader,False
scrapyard,trader,False
liquidator,trader,False
furniture dealer,trader,False
film prop business,trader,False
auction house,trader,False
art dealer,trader,False
temporary museum,actor,True
museum outreach,temporary museum,False
museum (pop up),temporary museum,False
mobile museum,temporary museum,False
storage,actor,True
storage facility,storage,False
garage,storage,False
society,actor,True
social club,society,False
shareholder consortium,society,False
private members club,society,False
natural history society,society,False
enthusiast organisation,society,False
service,actor,True
police college,service,False
hospital,service,False
fire station,service,False
police,service,False
care home,service,False
other organisation,actor,True
craft guild,other organisation,False
synagogue,other organisation,False
charity,other organisation,False
broadcaster,other organisation,False
museum service,actor,True
museum,actor,True
library/archive,actor,True
library,library/archive,False
archive,library/archive,False
leisure,actor,True
tourism business,leisure,False
theatre,leisure,False
sports club,leisure,False
sport stadium,leisure,False
restaurant,leisure,False
leisure centre,leisure,False
arts centre,leisure,False
individual,actor,True
heritage,actor,True
railway preservation,heritage,False
national trust,heritage,False
historic house,heritage,False
heritage society,heritage,False
heritage railway,heritage,False
heritage charity,heritage,False
end of existence,actor,True
education/research,actor,True
university,education/research,False
scientific organisation,education/research,False
school,education/research,False
college,education/research,False
company,actor,True
armourer,company,False
restorers,company,False
technology company,company,False
housing developer,company,False
civic organisation,actor,True
visitor centre,civic organisation,False
village hall,civic organisation,False
town hall,civic organisation,False
parish council,civic organisation,False
local authority,civic organisation,False
government organisation,civic organisation,False
embassy,civic organisation,False
community centre,civic organisation,False
city corporation,civic organisation,False
armed forces,actor,True
RAF base,armed forces,False
naval dockyard,armed forces,False
armed forces support charity,armed forces,False
