initial_museum_id,initial_museum_name,initial_museum_size,initial_museum_governance,initial_museum_accreditation,initial_museum_subject,initial_museum_town,initial_museum_region,initial_museum_postcode,super_event_id,super_event_date,super_event_reasons,event_id,event_stage_in_path,event_type,event_core_type,event_type_uncertainty,event_is_end_of_existence,event_is_change_of_ownership,event_is_change_of_custody,event_date,event_date_from,event_date_to,previous_event_id,sender_id,sender_name,sender_mm_id,sender_type,sender_core_type,sender_sector,recipient_id,recipient_name,recipient_mm_id,recipient_quantity,recipient_type,recipient_core_type,recipient_sector,recipient_size,recipient_governance,recipient_accreditation,recipient_subject,recipient_town,recipient_region,recipient_postcode,object_id,parent_object_id,object_size,object_quantity,object_status,object_types,object_description
mm.misc.060,Brooklands Agricultural Farm Implements Museum,small,unknown governance,unaccredited,rural industry: farming,Guernsey,Channel Islands,GY5 7LS,cm2,2005,low visitor numbers,event1,0,stored-onsite,stored,certain,False,False,False,2005,,,,museummm.misc.060,Brooklands Agricultural Farm Implements Museum,mm.misc.060,museum,museum,unknown,,,,,,,,,,,,,,,cm2bafim-remainder,,all,,collection,"['agricultural tool', 'hand tool']",included dairy tools
mm.misc.060,Brooklands Agricultural Farm Implements Museum,small,unknown governance,unaccredited,rural industry: farming,Guernsey,Channel Islands,GY5 7LS,cm2,2005,low visitor numbers,event2,0,destroyed-fire,damaged/destroyed,certain,True,False,False,2008,,,,museummm.misc.060,Brooklands Agricultural Farm Implements Museum,mm.misc.060,museum,museum,unknown,unknown_end of existence_2,unknown end of existence 2,,1,end of existence,end of existence,unknown,,,,,,,,cm2bafim,,most,,collection,"['agricultural tool', 'hand tool']",included dairy tools
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event4,0,loaned,loaned,certain,False,False,True,2010,,,,museummm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",mm.domus.SE387,museum,museum,university,bm,British Museum,mm.domus.SE073,1,museum,museum,public,huge,national,accredited,mixed: encyclopaedic,London,London,WC1B 3DG,cm3pdc-cer,,some,,loan,['ceramic'],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event5,1,displayed,displayed,certain,False,False,False,2010,,,event4,bm,British Museum,mm.domus.SE073,museum,museum,public,,,,,,,,,,,,,,,cm3pdc-cer,,some,,loan,['ceramic'],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event6,0,loaned,loaned,certain,False,False,True,2010,,,,museummm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",mm.domus.SE387,museum,museum,university,soas,School of Oriental and African Studies,,1,university,education/research,university,,,,,London,London,WC1H 0XG,cm3pdc-books,,some,,loan,['book'],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event7,0,transferred,transferred,certain,False,True,True,2010,,,,museummm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",mm.domus.SE387,museum,museum,university,soas,School of Oriental and African Studies,,1,university,education/research,university,,,,,London,London,WC1H 0XG,cm3pdc-hand,,some,,collection,[''],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event8,1,stored-offsite,stored,certain,False,False,True,2010,,,event7,soas,School of Oriental and African Studies,,university,education/research,university,unknown_storage_8,unknown storage 8,,1,storage,storage,unknown,,,,,,,,cm3pdc-hand,,some,,collection,[''],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event9,2,used-teaching,used,certain,False,False,False,2010,,,event8,unknown_storage_8,unknown storage 8,,storage,storage,unknown,,,,,,,,,,,,,,,cm3pdc-hand-1,cm3pdc-hand,some,,collection,[''],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event10,1,transferred,transferred,certain,False,True,True,2023,,,event6,soas,School of Oriental and African Studies,,university,education/research,university,soas,School of Oriental and African Studies,,1,university,education/research,university,,,,,London,London,WC1H 0XG,cm3pdc-books,,some,,loan,['book'],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event11,2,transferred,transferred,certain,False,True,True,2023,,,event8,unknown_storage_8,unknown storage 8,,storage,storage,unknown,soas,School of Oriental and African Studies,,1,university,education/research,university,,,,,London,London,WC1H 0XG,cm3pdc-hand,,some,,collection,[''],
mm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",medium,university,unaccredited,arts: ceramics,London,London,WC1H 0PD,cm3,2010,financial - funding cut - external funding cut,event12,0,transferred,transferred,certain,False,True,True,2010,,,,museummm.domus.SE387,"Percival David Foundation Of Chinese Art, University Of London",mm.domus.SE387,museum,museum,university,museum-freemasonry,Library And Museum Freemasonry,mm.ace.1101,1,museum,museum,third,medium,not-for-profit,accredited,belief & identity: freemasons,London,London,WC2B 5AZ,cm3pdc-stands,,some,,museum-stuff,['stand'],perspex display stands
mm.aim82NM.133,Finkley Down Farm Museum,small,private,unaccredited,rural industry: farming,Andover,South East,SP11 6NF,cm4,2011,low visitor numbers; loss of premises - change of use - space repurposed,event14,0,sent-to-auction,sold,certain,False,True,True,?,,,,museummm.aim82NM.133,Finkley Down Farm Museum,mm.aim82NM.133,museum,museum,private,unknown_auction house_14,unknown auction house 14,,1,auction house,trader,unknown,,,,,,,,cm4fdfm-romany,,some,,collection,['horse-drawn vehicle'],Romany caravans
