reason,super_reasons,museum_id,has_collection
low visitor numbers,falling visitor numbers,mm.misc.060,True
financial - funding cut - external funding cut,Funding cut external,mm.domus.SE387,True
low visitor numbers; loss of premises - change of use - space repurposed,too few visitors; repurposing of space,mm.aim82NM.133,True
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.wiki.278,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.SC236,True
financial - costs,costs,mm.wiki.044,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.101,True
strategic closure - replacement museum,collection acquired for new museum,mm.aim.0881,True
loss of premises - change of use,premises repurposed,mm.wiki.240,True
life events - owner moved house,owner relocated?,mm.New.213,True
life events - death - death of owner,death of owner,mm.hha.066,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WA012,True
loss of premises - change of use,premises repurposed,mm.ace.1270,True
building; building - condition of building - deterioration; collections - collection damaged - infestation,building problems; deterioration; moths,mm.domus.NW009,True
building - health and safety; financial - costs,health and safety; managing charity unable to pay bills,mm.domus.WA040,True
financial - costs - low revenue,insufficient revenue,mm.wiki.432,True
life events - retirement - retirement of owner,retirement of owner,mm.misc.095,True
building - unsuitable; low visitor numbers,unsuitable premises; too few visitors?,mm.domus.NE027,True
financial - costs - low revenue; financial - costs - unsustainable,insufficient revenue; unsustainable costs,mm.aim.1001,True
restructure of host organisation - relocation,relocation,mm.domus.SE453,True
loss of premises,loss of premises,mm.domus.SE457,True
strategic closure - amalgamation,amalgamation,mm.domus.SE222,True
restructure of host organisation - relocation,relocation,mm.New.87,True
loss of premises,loss of premises,mm.domus.NW036,True
low visitor numbers,low visitor numbers,mm.aim.0774,True
unknown,unknown,mm.domus.SC237,True
financial - costs - low revenue,insufficient revenue,mm.domus.SE471,True
financial - costs - unsustainable,financially unsustainable,mm.domus.SW043,True
building - building destroyed - fire,fire destroyed building,mm.domus.SE091,True
financial - costs - low revenue,insufficient revenue,mm.aim82NM.072,True
financial - insolvency,liquidation,mm.fcm.279,True
financial - costs - low revenue; financial - costs - low revenue; life events - illness,insufficient revenue; failed funding bid; illness,mm.wiki.109,True
strategic closure - replacement museum,replacement,mm.domus.NE065,True
loss of premises; loss of premises - sold,loss of premises; site sold,mm.misc.106,True
building - building destroyed - fire,fire,mm.fcm.207,True
other - unwanted by heritage organisations; loss of premises - sold,unwanted by heritage organisations; building sold,mm.wiki.291,True
financial - costs; life events - illness,increased costs; illness,mm.mald.159,True
loss of premises,loss of premises,mm.wiki.243,True
strategic closure - amalgamation,amalgamation,mm.domus.NE055,True
financial - funding cut - local authority funding cut,local authority funding cuts?,mm.domus.SE276,True
low visitor numbers; financial - funding cut - local authority funding cut,too few visitors; unsustainble for local authority,mm.wiki.461,True
other,change of offer,mm.misc.263,True
low visitor numbers; other,falling visitor numbers; new competitor museum,mm.domus.SC041,True
staff - disagreement; other,owner and trustees in dispute; preventing sale of objects,mm.aim.0754,True
loss of premises,loss of premises,mm.musa.136,True
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work,mm.New.165,True
building - unsuitable; financial - costs,premises unsuitable; increased costs,mm.domus.SE561,True
loss of premises; loss of premises - sold,loss of premises; building sold,mm.fcm.062,True
loss of premises,loss of premises,mm.fcm.137,True
loss of premises - change of use,premises repurposed,mm.misc.070,True
staff - insufficient staff; staff - insufficient staff - no volunteers,insufficient staff; no volunteers,mm.domus.WA083,True
loss of premises - change of use; low visitor numbers,building repurposed; too few visitors,mm.domus.SE251,True
strategic closure - amalgamation,amalgamation,mm.New.83,True
