chunk_size,role_description,task_description,chain_of_thought,precision,recall,f1
2k,data modeller,basic+hierarchy,zero-shot,0.6875,0.6863019776876268,0.6868892823906525
4k,machine,basic+hierarchy,zero-shot,0.9374446576151122,0.8614037548219354,0.8970801191486811
1k,null,basic+hierarchy+enums,zero-shot,0.015625,0.015025988843813388,0.015319641195326233
1k,null,basic+hierarchy,null,0.0,0.0,0.0
2k,machine,chain-of-thought,one-shot,0.0,0.0,0.0
1k,machine,basic+hierarchy,zero-shot,0.22425011671335202,0.2213826929130238,0.22272672176579078
4k,null,chain-of-thought,one-shot,0.0,0.0,0.0
1k,null,basic+hierarchy+enums,null,0.0,0.0,0.0
3k,machine,basic+hierarchy+enums,null,0.8346290283790284,0.8331421572859811,0.8338675790542441
1k,null,basic,zero-shot,0.046875,0.045676977687626776,0.046264282390652466
2k,null,basic+hierarchy,null,0.7498922413793103,0.6729468599033817,0.7093389109213858
3k,null,basic+hierarchy,null,0.45340401785714285,0.41415566254036057,0.4324900252223569
1k,data modeller,basic+hierarchy+enums,null,0.8125,0.8049666213884771,0.8075368545807189
3k,data modeller,basic,zero-shot,0.9354010695187166,0.8530048123167006,0.8915106190003066
4k,data modeller,basic+hierarchy+enums,null,0.75,0.75,0.75
2k,machine,basic,null,0.6295939256668435,0.5612112742270481,0.5927990759709807
3k,data modeller,basic+hierarchy,zero-shot,0.7727272727272727,0.7709846948183663,0.7718389562045854
2k,machine,basic+hierarchy+enums,zero-shot,0.9476215361552671,0.9491957322088707,0.9483946413895271
4k,data modeller,basic+hierarchy,zero-shot,0.8709385888501742,0.7827086252625322,0.8243784995403302
2k,machine,basic+hierarchy+enums,zero-shot,0.9496763774528763,0.9220575410432941,0.9355734189069108
1k,data modeller,basic,zero-shot,0.4934191176470588,0.4811225226701542,0.48659692549951616
1k,data modeller,basic+hierarchy,zero-shot,0.9216512044270834,0.8239302562005354,0.8699963547558266
3k,machine,chain-of-thought,one-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
3k,data modeller,basic,zero-shot,0.9250120250120251,0.8303820717370093,0.8750473766979013
1k,null,basic+hierarchy+enums,zero-shot,0.9060737781954887,0.8988335648607477,0.9019985360673517
4k,null,basic,zero-shot,0.8283267373666108,0.7422840016825791,0.7828968659417612
4k,data modeller,basic+hierarchy,zero-shot,0.375,0.375,0.375
1k,null,basic+hierarchy,zero-shot,0.015625,0.015025988843813388,0.015319641195326233
2k,data modeller,chain-of-thought,one-shot,0.0,0.0,0.0
1k,machine,basic,null,0.8532531438767968,0.7371317230852388,0.7903585126986488
4k,null,basic+hierarchy,zero-shot,0.8125,0.7290257648953301,0.7685028008827024
4k,null,basic+hierarchy+enums,zero-shot,0.6801178620571036,0.6672700884598497,0.672846512684667
4k,data modeller,basic,zero-shot,0.9375,0.8509576094305789,0.8912847629675195
1k,machine,basic,null,0.7250706601795535,0.6589399721664133,0.689996702523519
2k,data modeller,basic+hierarchy,zero-shot,0.9049910246887379,0.8167088797496107,0.8569634488072212
3k,machine,basic+hierarchy,null,0.9090700200534759,0.8139505856103441,0.8588657550224035
4k,data modeller,basic,zero-shot,0.7743217657433343,0.7064200118926617,0.7384104165709435
4k,data modeller,basic+hierarchy+enums,zero-shot,0.6875,0.6731237322515213,0.6801713886878296
1k,machine,basic+hierarchy+enums,null,0.8120543084221269,0.7844131063029569,0.7976785147493589
2k,machine,basic+hierarchy,null,0.761317791005291,0.6699147028800768,0.712252289664478
3k,null,basic+hierarchy,zero-shot,0.7272448752228164,0.6525545308154004,0.6878781562867989
2k,null,basic,null,0.09375,0.09375,0.09375
2k,machine,basic+hierarchy,zero-shot,0.8125,0.7207345367349006,0.7633051278286593
4k,null,basic+hierarchy+enums,zero-shot,0.0,0.0,0.0
1k,machine,basic+hierarchy,zero-shot,0.9360167625323076,0.8284952211977579,0.8781691863357438
4k,null,basic+hierarchy+enums,null,0.8693254494547598,0.8621578099838969,0.86561916047811
2k,machine,basic+hierarchy,null,0.0,0.0,0.0
4k,data modeller,basic+hierarchy,null,0.8125,0.8125,0.8125
1k,null,basic+hierarchy,zero-shot,0.8395381607031495,0.7541308846285758,0.7943777056680007
1k,machine,basic+hierarchy,null,0.6892007525789512,0.5958313334502986,0.6388376029406582
4k,data modeller,basic,null,0.9375,0.8397444251730345,0.8853201907206243
3k,machine,basic,null,0.6040279290413898,0.5415854882235095,0.5711012888685741
4k,null,basic+hierarchy,null,0.4375,0.40386044722736675,0.4196062832593146
3k,null,basic,null,0.4548624623163862,0.3981352423689962,0.4240081197467396
2k,machine,basic+hierarchy,zero-shot,0.59375,0.589341430183601,0.5913784314859
1k,machine,basic+hierarchy,null,0.8635156870119565,0.776198295382067,0.8174201833640723
3k,machine,basic+hierarchy+enums,zero-shot,0.7682565402160652,0.7392620652367985,0.7533591395478294
4k,data modeller,basic+hierarchy,null,0.875,0.7851046698872787,0.8276184009506026
1k,null,basic+hierarchy,null,0.7717458173956258,0.69299634577009,0.7301924863851219
4k,data modeller,basic,null,0.8749751589825119,0.7851046698872787,0.8276072868443463
1k,data modeller,basic+hierarchy,null,0.9214689159025097,0.8271821387650192,0.871782277909351
3k,null,basic+hierarchy,zero-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
1k,null,basic+hierarchy+enums,zero-shot,0.578125,0.5591484027185754,0.5683891692120845
1k,null,basic+hierarchy,zero-shot,0.5828610702936088,0.523875712829981,0.5512939648442357
3k,null,basic+hierarchy,null,0.045454545454545456,0.045454545454545456,0.045454545454545456
1k,machine,basic+hierarchy+enums,null,0.8502308670890127,0.8460528745038719,0.8478461382106778
2k,data modeller,basic+hierarchy+enums,zero-shot,0.71875,0.7139579107505071,0.7163071295626099
2k,machine,basic,null,0.15625,0.15505197768762677,0.15563928239065247
4k,null,basic+hierarchy+enums,null,0.5625,0.5433316430020284,0.5527285182504394
1k,null,basic,zero-shot,0.792460948635935,0.7147096004045833,0.7513898527856052
4k,null,basic+hierarchy,zero-shot,0.0,0.0,0.0
