type_name,sub_type_of,is_core_category,total_instances,public_instances,private_instances,third_instances,university_instances,hybrid_instances,unknown_instances
actor,,False,5111,1257,1007,2141,124,1,581
transport provider,actor,True,15,1,12,2,0,0,0
shipyard,transport provider,False,1,0,1,0,0,0,0
transport authority,transport provider,False,1,1,0,0,0,0,0
lighthouse,transport provider,False,2,0,0,2,0,0,0
dock management company,transport provider,False,1,0,1,0,0,0,0
aviation service provider,transport provider,False,2,0,2,0,0,0,0
airport,transport provider,False,6,0,6,0,0,0,0
airfield,transport provider,False,2,0,2,0,0,0,0
trader,actor,True,85,0,28,0,0,0,57
antiques dealer,trader,False,1,0,1,0,0,0,0
scrapyard,trader,False,2,0,2,0,0,0,0
liquidator,trader,False,1,0,1,0,0,0,0
furniture dealer,trader,False,1,0,1,0,0,0,0
film prop business,trader,False,1,0,1,0,0,0,0
auction house,trader,False,78,0,21,0,0,0,57
art dealer,trader,False,1,0,1,0,0,0,0
temporary museum,actor,True,6,1,3,1,0,0,1
museum outreach,temporary museum,False,1,0,1,0,0,0,0
museum (pop up),temporary museum,False,2,0,2,0,0,0,0
mobile museum,temporary museum,False,3,1,0,1,0,0,1
storage,actor,True,80,26,16,6,1,0,31
storage facility,storage,False,53,26,14,6,1,0,6
garage,storage,False,1,0,1,0,0,0,0
society,actor,True,16,0,7,0,0,0,9
social club,society,False,1,0,0,0,0,0,1
shareholder consortium,society,False,1,0,1,0,0,0,0
private members club,society,False,1,0,1,0,0,0,0
natural history society,society,False,1,0,1,0,0,0,0
enthusiast organisation,society,False,9,0,3,0,0,0,6
service,actor,True,10,7,1,0,0,0,2
police college,service,False,3,3,0,0,0,0,0
hospital,service,False,2,1,1,0,0,0,0
fire station,service,False,1,1,0,0,0,0,0
police,service,False,2,2,0,0,0,0,0
care home,service,False,2,0,0,0,0,0,2
other organisation,actor,True,26,1,3,20,0,0,2
craft guild,other organisation,False,2,0,1,1,0,0,0
synagogue,other organisation,False,1,0,1,0,0,0,0
charity,other organisation,False,19,0,0,19,0,0,0
broadcaster,other organisation,False,1,1,0,0,0,0,0
museum service,actor,True,26,25,0,0,0,0,1
museum,actor,True,4350,1040,810,2085,112,0,303
library/archive,actor,True,39,31,3,2,3,0,0
library,library/archive,False,15,14,0,0,1,0,0
archive,library/archive,False,24,17,3,2,2,0,0
leisure,actor,True,13,1,10,2,0,0,0
tourism business,leisure,False,4,0,4,0,0,0,0
theatre,leisure,False,1,1,0,0,0,0,0
sports club,leisure,False,1,0,1,0,0,0,0
sport stadium,leisure,False,1,0,1,0,0,0,0
restaurant,leisure,False,3,0,3,0,0,0,0
leisure centre,leisure,False,1,0,1,0,0,0,0
arts centre,leisure,False,2,0,0,2,0,0,0
individual,actor,True,84,0,84,0,0,0,0
heritage,actor,True,28,1,7,16,0,1,3
railway preservation,heritage,False,3,0,3,0,0,0,0
national trust,heritage,False,3,0,0,3,0,0,0
historic house,heritage,False,3,1,1,0,0,0,1
heritage society,heritage,False,9,0,0,7,0,1,1
heritage railway,heritage,False,9,0,3,5,0,0,1
heritage charity,heritage,False,1,0,0,1,0,0,0
end of existence,actor,True,42,0,0,0,0,0,42
education/research,actor,True,32,16,3,4,8,0,1
university,education/research,False,19,10,0,0,8,0,1
scientific organisation,education/research,False,5,1,0,4,0,0,0
school,education/research,False,6,3,3,0,0,0,0
college,education/research,False,2,2,0,0,0,0,0
company,actor,True,18,0,16,0,0,0,2
armourer,company,False,1,0,0,0,0,0,1
restorers,company,False,1,0,1,0,0,0,0
technology company,company,False,2,0,2,0,0,0,0
housing developer,company,False,2,0,2,0,0,0,0
civic organisation,actor,True,54,49,3,2,0,0,0
visitor centre,civic organisation,False,4,1,3,0,0,0,0
village hall,civic organisation,False,1,1,0,0,0,0,0
town hall,civic organisation,False,3,3,0,0,0,0,0
parish council,civic organisation,False,1,0,0,1,0,0,0
local authority,civic organisation,False,41,41,0,0,0,0,0
government organisation,civic organisation,False,1,1,0,0,0,0,0
embassy,civic organisation,False,1,1,0,0,0,0,0
community centre,civic organisation,False,1,0,0,1,0,0,0
city corporation,civic organisation,False,1,1,0,0,0,0,0
armed forces,actor,True,61,58,1,1,0,0,1
RAF base,armed forces,False,1,1,0,0,0,0,0
naval dockyard,armed forces,False,1,0,1,0,0,0,0
armed forces support charity,armed forces,False,1,0,0,1,0,0,0
